,0
0,CACR11
1,AFHI11
2,ALZR11
3,RZAT11
4,ARRI11
5,AIEC11
6,BARI11
7,BCFF11
8,BRCR11
9,BCIA11
10,BCRI11
11,BLMG11
12,BRCO11
13,BROF11
14,BTAL11
15,BTCI11
16,BTRA11
17,BTLG11
18,CPTS11
19,HGCR11
20,HGFF11
21,HGLG11
22,HGRU11
23,HGPO11
24,CYCR11
25,DEVA11
26,VRTA11
27,GTWR11
28,GGRC11
29,GARE11
30,HABT11
31,HCTR11
32,HGBS11
33,HGRE11
34,HTMX11
35,HSAF11
36,HSLG11
37,HSML11
38,HFOF11
39,IRDM11
40,JSAF11
41,JSRE11
42,KISU11
43,KNRI11
44,KCRE11
45,KNHY11
46,KNIP11
47,KNCR11
48,KNSC11
49,KFOF11
50,LGCP11
51,MALL11
52,MCCI11
53,MXRF11
54,MFII11
55,OUJP11
56,PATL11
57,PLCR11
58,PORD11
59,RBRL11
60,RBRX11
61,RBRY11
62,RBRP11
63,RBRF11
64,RBRR11
65,RECR11
66,RECT11
67,RBFF11
68,RCRB11
69,RBVA11
70,RZAK11
71,RZTR11
72,SADI11
73,SARE11
74,TRBL11
75,SPXS11
76,SNCI11
77,SNFF11
78,TEPP11
79,TGAR11
80,TVRI11
81,TORD11
82,TRXF11
83,URPR11
84,VGHF11
85,VGIP11
86,VGIR11
87,CVBI11
88,LVBI11
89,PVBI11
90,VCJR11
91,VSLH11
92,VCRI11
93,VIUR11
94,VILG11
95,VINO11
96,VISC11
97,WHGR11
98,XPCI11
99,XPIN11
100,XPLG11
101,XPML11
102,XPPR11
103,XPSF11
104,Quantidade Te�rica Total
105,Redutor
